WARNING:imageio:Lossy conversion from float64 to uint8. Range [0, 1]. Convert image to uint8 prior to saving to suppress this warning.
INFO:root:Epoch:[3]-[29/52] --> d_loss: 1.329, g_loss:0.750, g_recon_loss:0.750
INFO:root:Epoch:[3]-[30/52] --> d_loss: 1.597, g_loss:0.815, g_recon_loss:0.815
INFO:root:Epoch:[3]-[31/52] --> d_loss: 1.643, g_loss:0.900, g_recon_loss:0.900
INFO:root:Epoch:[3]-[32/52] --> d_loss: 1.540, g_loss:1.082, g_recon_loss:1.082
INFO:root:Epoch:[3]-[33/52] --> d_loss: 1.635, g_loss:1.009, g_recon_loss:1.009
INFO:root:Epoch:[3]-[34/52] --> d_loss: 1.598, g_loss:1.043, g_recon_loss:1.043
INFO:root:Epoch:[3]-[35/52] --> d_loss: 1.576, g_loss:0.882, g_recon_loss:0.882
INFO:root:Epoch:[3]-[36/52] --> d_loss: 1.673, g_loss:0.915, g_recon_loss:0.915
INFO:root:Epoch:[3]-[37/52] --> d_loss: 1.549, g_loss:0.940, g_recon_loss:0.940
INFO:root:Epoch:[3]-[38/52] --> d_loss: 1.655, g_loss:0.794, g_recon_loss:0.794
INFO:root:Epoch:[3]-[39/52] --> d_loss: 1.644, g_loss:0.927, g_recon_loss:0.927
INFO:root:Epoch:[3]-[40/52] --> d_loss: 1.520, g_loss:0.965, g_recon_loss:0.965
INFO:root:Epoch:[3]-[41/52] --> d_loss: 1.607, g_loss:0.842, g_recon_loss:0.842
INFO:root:Epoch:[3]-[42/52] --> d_loss: 1.510, g_loss:0.793, g_recon_loss:0.793
INFO:root:Epoch:[3]-[43/52] --> d_loss: 1.574, g_loss:1.063, g_recon_loss:1.063
INFO:root:Epoch:[3]-[44/52] --> d_loss: 1.341, g_loss:0.762, g_recon_loss:0.762
INFO:root:Epoch:[3]-[45/52] --> d_loss: 1.542, g_loss:0.825, g_recon_loss:0.825
INFO:root:Epoch:[3]-[46/52] --> d_loss: 1.590, g_loss:0.929, g_recon_loss:0.929
INFO:root:Epoch:[3]-[47/52] --> d_loss: 1.482, g_loss:0.905, g_recon_loss:0.905
INFO:root:Epoch:[3]-[48/52] --> d_loss: 1.626, g_loss:0.865, g_recon_loss:0.865
INFO:root:Epoch:[3]-[49/52] --> d_loss: 1.624, g_loss:0.837, g_recon_loss:0.837
INFO:root:Epoch:[3]-[50/52] --> d_loss: 1.514, g_loss:0.962, g_recon_loss:0.962
INFO:root:Epoch:[3]-[51/52] --> d_loss: 1.597, g_loss:0.887, g_recon_loss:0.887
INFO:root:Epoch:[4]-[0/52] --> d_loss: 1.481, g_loss:0.914, g_recon_loss:0.914
INFO:root:Epoch:[4]-[1/52] --> d_loss: 1.609, g_loss:0.965, g_recon_loss:0.965
INFO:root:Epoch:[4]-[2/52] --> d_loss: 1.546, g_loss:0.890, g_recon_loss:0.890
INFO:root:Epoch:[4]-[3/52] --> d_loss: 1.494, g_loss:0.945, g_recon_loss:0.945
INFO:root:Epoch:[4]-[4/52] --> d_loss: 1.538, g_loss:0.891, g_recon_loss:0.891
INFO:root:Epoch:[4]-[5/52] --> d_loss: 1.569, g_loss:0.895, g_recon_loss:0.895
INFO:root:Epoch:[4]-[6/52] --> d_loss: 1.461, g_loss:0.954, g_recon_loss:0.954
INFO:root:Epoch:[4]-[7/52] --> d_loss: 1.512, g_loss:0.902, g_recon_loss:0.902
INFO:root:Epoch:[4]-[8/52] --> d_loss: 1.593, g_loss:0.867, g_recon_loss:0.867
INFO:root:Epoch:[4]-[9/52] --> d_loss: 1.590, g_loss:0.854, g_recon_loss:0.854
INFO:root:Epoch:[4]-[10/52] --> d_loss: 1.569, g_loss:0.891, g_recon_loss:0.891
INFO:root:Epoch:[4]-[11/52] --> d_loss: 1.472, g_loss:0.880, g_recon_loss:0.880
INFO:root:Epoch:[4]-[12/52] --> d_loss: 1.489, g_loss:0.901, g_recon_loss:0.901
INFO:root:Epoch:[4]-[13/52] --> d_loss: 1.578, g_loss:0.850, g_recon_loss:0.850
INFO:root:Epoch:[4]-[14/52] --> d_loss: 1.667, g_loss:0.925, g_recon_loss:0.925
INFO:root:Epoch:[4]-[15/52] --> d_loss: 1.444, g_loss:0.918, g_recon_loss:0.918
INFO:root:Epoch:[4]-[16/52] --> d_loss: 1.274, g_loss:0.957, g_recon_loss:0.957
INFO:root:Epoch:[4]-[17/52] --> d_loss: 1.404, g_loss:1.031, g_recon_loss:1.031
INFO:root:Epoch:[4]-[18/52] --> d_loss: 1.544, g_loss:0.870, g_recon_loss:0.870
INFO:root:Epoch:[4]-[19/52] --> d_loss: 1.445, g_loss:0.804, g_recon_loss:0.804
INFO:root:Epoch:[4]-[20/52] --> d_loss: 1.515, g_loss:0.871, g_recon_loss:0.871
INFO:root:Epoch:[4]-[21/52] --> d_loss: 1.545, g_loss:0.831, g_recon_loss:0.831
INFO:root:Epoch:[4]-[22/52] --> d_loss: 1.631, g_loss:0.864, g_recon_loss:0.864
INFO:root:Epoch:[4]-[23/52] --> d_loss: 1.338, g_loss:0.797, g_recon_loss:0.797
INFO:root:Epoch:[4]-[24/52] --> d_loss: 1.668, g_loss:1.008, g_recon_loss:1.008
INFO:root:Epoch:[4]-[25/52] --> d_loss: 1.519, g_loss:0.810, g_recon_loss:0.810
INFO:root:Epoch:[4]-[26/52] --> d_loss: 1.464, g_loss:0.863, g_recon_loss:0.863
INFO:root:Epoch:[4]-[27/52] --> d_loss: 1.250, g_loss:0.763, g_recon_loss:0.763
INFO:root:Epoch:[4]-[28/52] --> d_loss: 1.510, g_loss:0.823, g_recon_loss:0.823
INFO:root:Epoch:[4]-[29/52] --> d_loss: 1.468, g_loss:0.765, g_recon_loss:0.765
INFO:root:Epoch:[4]-[30/52] --> d_loss: 1.590, g_loss:0.779, g_recon_loss:0.779
INFO:root:Epoch:[4]-[31/52] --> d_loss: 1.485, g_loss:0.893, g_recon_loss:0.893
INFO:root:Epoch:[4]-[32/52] --> d_loss: 1.472, g_loss:1.198, g_recon_loss:1.198
INFO:root:Epoch:[4]-[33/52] --> d_loss: 1.436, g_loss:0.907, g_recon_loss:0.907
INFO:root:Epoch:[4]-[34/52] --> d_loss: 1.517, g_loss:0.945, g_recon_loss:0.945
INFO:root:Epoch:[4]-[35/52] --> d_loss: 1.361, g_loss:0.890, g_recon_loss:0.890
INFO:root:Epoch:[4]-[36/52] --> d_loss: 1.661, g_loss:0.900, g_recon_loss:0.900
INFO:root:Epoch:[4]-[37/52] --> d_loss: 1.486, g_loss:0.906, g_recon_loss:0.906
INFO:root:Epoch:[4]-[38/52] --> d_loss: 1.719, g_loss:0.831, g_recon_loss:0.831
INFO:root:Epoch:[4]-[39/52] --> d_loss: 1.533, g_loss:0.915, g_recon_loss:0.915
INFO:root:Epoch:[4]-[40/52] --> d_loss: 1.510, g_loss:0.876, g_recon_loss:0.876
INFO:root:Epoch:[4]-[41/52] --> d_loss: 1.532, g_loss:0.838, g_recon_loss:0.838
INFO:root:Epoch:[4]-[42/52] --> d_loss: 1.577, g_loss:0.814, g_recon_loss:0.814
INFO:root:Epoch:[4]-[43/52] --> d_loss: 1.496, g_loss:0.964, g_recon_loss:0.964
INFO:root:Epoch:[4]-[44/52] --> d_loss: 1.497, g_loss:0.805, g_recon_loss:0.805
INFO:root:Epoch:[4]-[45/52] --> d_loss: 1.525, g_loss:0.834, g_recon_loss:0.834
INFO:root:Epoch:[4]-[46/52] --> d_loss: 1.499, g_loss:0.825, g_recon_loss:0.825
INFO:root:Epoch:[4]-[47/52] --> d_loss: 1.506, g_loss:0.844, g_recon_loss:0.844
INFO:root:Epoch:[4]-[48/52] --> d_loss: 1.559, g_loss:0.847, g_recon_loss:0.847
INFO:root:Epoch:[4]-[49/52] --> d_loss: 1.539, g_loss:0.983, g_recon_loss:0.983
